"userId","itemId","rating","time"
"1","1074638",7,2013-04-03
"1","1853728",8,2013-04-21
"2","113277",10,2013-09-18
"3","104257",8,2013-03-31
"3","1259521",8,2013-03-24
"3","1991245",7,2013-03-24
"4","2515086",10,2013-09-21
"5","795461",2,2013-09-05
"5","1399683",7,2013-09-07
"5","1483013",5,2013-09-13
"5","1672845",8,2013-09-07
"5","2070862",5,2013-09-06
"5","2302755",4,2013-09-07
"6","1300854",7,2013-05-10
"7","366780",9,2013-09-14
"8","1670345",8,2013-09-18
"8","2184339",7,2013-09-12
"9","1790885",9,2013-08-23
"9","2053463",7,2013-09-01
"10","2053463",6,2013-07-30
"10","2084989",8,2013-04-13
"11","385002",10,2013-03-12
"11","1220198",10,2013-04-29
"11","1462900",10,2013-03-22
"11","1512685",10,2013-03-30
"11","1631707",10,2013-05-07
"11","1986994",1,2013-03-25
"11","1999995",10,2013-05-07
"12","91019",6,2013-06-23
"12","250224",6,2013-07-22
"12","338013",9,2013-07-22
"12","770828",8,2013-07-14
"12","1300854",7,2013-07-22
"12","1389096",7,2013-04-05
"12","1675434",9,2013-07-22
"12","2125608",10,2013-02-28
"12","2234155",8,2013-07-22
"13","39834",6,2013-03-17
"13","74958",9,2013-02-28
"13","99277",7,2013-03-07
"13","100332",9,2013-06-16
"13","102800",4,2013-04-24
"13","117774",6,2013-04-28
"13","119167",8,2013-04-15
"13","251736",2,2013-03-17
"13","395584",2,2013-03-17
"13","489244",1,2013-03-17
"13","937231",7,2013-03-31
"13","938330",6,2013-04-13
"13","1007026",8,2013-06-26
"13","1219289",8,2013-03-24
"13","1379182",8,2013-03-21
"13","1425253",5,2013-04-07
"13","1470827",6,2013-04-18
"13","1571222",9,2013-03-28
"13","1592525",4,2013-03-27
"13","1703199",7,2013-04-14
"13","1711018",8,2013-04-06
"13","1714208",9,2013-04-06
"13","1748179",8,2013-06-22
"13","2231554",3,2013-04-01
"14","1853728",8,2013-02-28
"15","68646",10,2013-09-12
"15","86250",9,2013-09-12
"15","87843",7,2013-09-12
"15","95956",7,2013-09-12
"15","99674",9,2013-09-12
"15","99685",9,2013-09-12
"15","102926",10,2013-09-12
"15","103064",7,2013-09-12
"15","112573",10,2013-09-12
"15","112641",10,2013-09-12
"15","116409",10,2013-09-12
"15","119094",8,2013-09-12
"15","120338",10,2013-09-12
"15","120815",7,2013-09-12
"15","122690",8,2013-09-12
"15","134273",10,2013-09-12
"15","141926",6,2013-09-12
"15","162222",10,2013-09-12
"15","167404",7,2013-09-12
"15","177971",6,2013-09-12
"15","215750",7,2013-09-12
"15","227445",8,2013-09-12
"15","264464",7,2013-09-12
"15","268978",8,2013-09-12
"15","298130",10,2013-09-12
"15","377109",8,2013-09-12
"15","399295",9,2013-09-12
"15","450259",10,2013-09-12
"15","1024648",9,2013-09-12
"15","1130884",8,2013-09-12
"16","2023587",5,2013-06-15
"17","770828",4,2013-06-23
"17","1320082",9,2013-03-17
"17","1483013",7,2013-04-15
"17","1583421",3,2013-04-07
"17","1623205",5,2013-03-17
"17","1815862",4,2013-06-24
"18","245429",8,2013-04-06
"18","405159",8,2013-03-30
"18","1045658",7,2013-05-02
"18","1300854",8,2013-04-28
"18","1670345",5,2013-06-09
"18","1951261",7,2013-06-02
"19","79417",8,2013-05-21
"19","405094",9,2013-03-08
"19","1817273",9,2013-07-15
"20","800241",7,2013-09-04
"21","91042",9,2013-07-20
"22","88286",9,2013-03-13
"22","1483013",9,2013-09-14
"23","111161",10,2013-06-17
"23","1421048",4,2013-06-17
"23","1464580",7,2013-07-03
"23","1981080",10,2013-07-02
"24","1905041",10,2013-05-24
"25","2258858",8,2013-09-20
"26","2027064",7,2013-09-17
"27","2101441",7,2013-04-06
"28","1392214",6,2013-09-21
"28","1853739",6,2013-09-03
"29","82198",10,2013-08-24
"29","87078",10,2013-08-24
"29","89893",10,2013-08-24
"29","93437",10,2013-08-17
"30","454876",9,2013-04-03
"31","1343092",8,2013-05-11
"32","1343092",6,2013-05-18
"32","1623205",4,2013-04-06
"33","42192",9,2013-04-27
"33","58461",8,2013-04-16
"33","59578",9,2013-04-17
"33","83907",8,2013-03-27
"33","92991",8,2013-04-04
"33","106308",7,2013-04-04
"33","117407",8,2013-04-09
"33","770828",6,2013-07-02
"33","1172570",9,2013-05-10
"33","1288558",7,2013-04-09
"33","1300854",5,2013-05-03
"33","1440292",8,2013-04-13
"33","1483013",4,2013-04-18
"33","1620604",5,2013-04-29
"33","1682180",8,2013-05-18
"33","1924429",8,2013-06-21
"33","2053463",7,2013-04-11
"33","2085910",6,2013-04-10
"33","2101441",5,2013-03-26
"33","2106476",8,2013-06-10
"34","770828",9,2013-06-16
"34","1210819",4,2013-07-05
"34","1430132",7,2013-08-03
"34","1535108",6,2013-08-18
"34","1663662",6,2013-07-23
"34","2334879",5,2013-08-11
"35","22279",8,2013-04-08
"35","31235",7,2013-03-12
"35","37558",9,2013-03-26
"35","48424",9,2013-04-24
"35","110413",9,2013-03-01
"35","113277",7,2013-03-05
"35","116242",6,2013-03-11
"35","119488",10,2013-03-04
"35","163978",6,2013-03-26
"35","1010048",8,2013-03-26
"35","1024648",8,2013-03-04
"35","1067583",7,2013-03-11
"35","1343092",8,2013-05-14
"35","1542344",8,2013-04-24
"35","1560747",6,2013-03-04
"36","109506",9,2013-09-01
"37","86879",9,2013-03-16
"37","232500",6,2013-05-27
"37","258463",8,2013-05-29
"37","264464",8,2013-04-12
"37","343660",7,2013-04-02
"37","372183",8,2013-05-29
"37","463985",6,2013-05-27
"37","466342",2,2013-04-02
"37","478311",7,2013-04-28
"37","829482",8,2013-04-03
"37","887912",9,2013-03-16
"37","910936",7,2013-04-28
"37","945513",7,2013-04-12
"37","1013752",6,2013-05-27
"37","1045658",8,2013-03-16
"37","1074638",7,2013-03-16
"37","1092026",7,2013-04-28
"37","1119646",8,2013-04-12
"37","1156398",7,2013-05-01
"37","1210166",7,2013-04-02
"37","1228705",7,2013-04-30
"37","1231583",6,2013-04-02
"37","1245526",8,2013-04-30
"37","1279935",6,2013-04-02
"37","1300854",8,2013-04-30
"37","1307068",5,2013-04-02
"37","1392170",7,2013-04-28
"37","1481572",6,2013-04-28
"37","1499658",7,2013-04-03
"37","1515091",8,2013-04-12
"37","1596343",7,2013-05-27
"37","1596350",5,2013-03-16
"37","1606378",6,2013-04-02
"37","1615065",6,2013-04-02
"37","1636826",7,2013-04-03
"37","1648179",5,2013-04-02
"37","1758830",6,2013-04-28
"37","1790885",9,2013-03-16
"37","1905041",8,2013-05-27
"37","1907668",7,2013-04-03
"37","1951261",7,2013-06-03
"37","2024432",6,2013-05-29
"38","338188",9,2013-03-10
"38","816711",9,2013-07-29
"38","1430132",7,2013-07-29
"39","1675434",9,2013-09-22
"39","1839492",7,2013-09-22
"40","109445",10,2013-09-18
"40","112471",10,2013-09-05
"40","1979320",9,2013-09-14
"41","56193",9,2013-03-23
"41","86066",10,2013-03-22
"41","88939",10,2013-07-30
"41","97165",10,2013-08-19
"41","113627",9,2013-07-20
"41","116367",8,2013-05-21
"41","118972",8,2013-04-27
"41","322420",8,2013-07-18
"41","375063",8,2013-07-24
"41","441909",9,2013-03-16
"41","443272",9,2013-03-01
"41","454876",10,2013-06-27
"41","485851",8,2013-07-16
"41","765443",10,2013-03-09
"41","783515",7,2013-06-27
"41","816711",9,2013-06-21
"41","822849",9,2013-06-20
"41","1125849",8,2013-07-19
"41","1210819",5,2013-08-15
"41","1321870",7,2013-05-10
"41","1557783",7,2013-09-13
"41","1560747",9,2013-05-10
"41","1659337",10,2013-04-10
"41","1711425",9,2013-06-26
"41","1810697",3,2013-03-04
"41","1951261",7,2013-06-06
"41","2091473",10,2013-04-05
"41","2234155",8,2013-07-14
"41","2243389",10,2013-04-01
"41","2325741",6,2013-03-31
"42","1390398",10,2013-09-21
"43","1210819",7,2013-07-15
"44","1674773",6,2013-05-24
"45","112641",7,2013-09-16
"45","402399",3,2013-09-16
"45","816711",1,2013-09-22
"45","2024432",5,2013-09-02
"45","2053463",6,2013-09-15
"46","71318",6,2013-09-22
"46","116707",7,2013-07-27
"46","143338",7,2013-06-22
"46","1216520",3,2013-03-06
"47","91042",9,2013-07-29
"48","104257",7,2013-09-15
"48","109830",8,2013-09-15
"48","110413",6,2013-09-15
"48","264464",6,2013-09-15
"48","372784",7,2013-09-15
"48","434409",7,2013-09-15
"48","442933",2,2013-09-15
"48","493464",7,2013-09-15
"48","800369",7,2013-09-15
"48","1228705",6,2013-09-15
"48","1270798",7,2013-09-15
"48","1408101",10,2013-09-15
"48","1411238",6,2013-09-15
"48","1411250",10,2013-09-15
"48","1583421",7,2013-09-15
"49","816711",10,2013-09-08
"49","1272878",6,2013-09-08
"49","1411250",7,2013-09-08
"49","1446714",4,2013-09-08
"49","2334649",6,2013-09-08
"50","454876",9,2013-06-30
"50","1045658",9,2013-04-06
"50","1212450",8,2013-03-24
"50","1343727",7,2013-04-02
"50","1905041",9,2013-05-19
"51","93779",10,2013-05-14
"52","50083",4,2013-04-11
"52","92879",10,2013-03-29
"52","103176",10,2013-05-26
"52","106226",10,2013-04-28
"52","106290",10,2013-05-26
"52","140379",10,2013-03-29
"52","401729",9,2013-05-25
"52","404978",7,2013-03-29
"52","454876",7,2013-05-25
"52","903624",7,2013-03-03
"52","1313139",8,2013-03-29
"52","1343092",10,2013-05-18
"52","1351685",8,2013-03-26
"52","1389096",9,2013-04-08
"52","1723811",10,2013-03-04
"52","2106550",8,2013-07-01
"52","2182001",10,2013-05-25
"52","2649128",7,2013-03-29
"53","816711",7,2013-06-18
"53","1288558",7,2013-04-19
"53","1656186",5,2013-04-19
"54","108002",7,2013-08-26
"54","108399",9,2013-08-28
"54","111161",10,2013-08-26
"54","453562",7,2013-08-26
"54","790724",8,2013-08-28
"54","816711",5,2013-09-21
"54","1045658",8,2013-08-28
"54","1232829",5,2013-09-09
"54","1300854",6,2013-09-05
"54","1588173",5,2013-09-02
"54","1606378",5,2013-08-26
"54","1606389",8,2013-08-28
"54","1636826",1,2013-08-28
"54","1659337",8,2013-09-05
"54","1670345",6,2013-08-30
"54","1763303",7,2013-08-27
"54","1855199",2,2013-08-28
"54","1905041",5,2013-09-12
"54","1945062",5,2013-09-15
"54","1981677",5,2013-08-30
"55","99731",9,2013-04-11
"56","120338",10,2013-06-15
"56","120737",10,2013-06-15
"56","167260",10,2013-06-15
"56","167261",10,2013-06-15
"56","266543",10,2013-06-15
"56","325980",10,2013-06-15
"56","454876",10,2013-06-15
"56","468569",10,2013-06-15
"56","848228",10,2013-06-15
"56","910970",10,2013-06-15
"56","986264",10,2013-06-15
"56","1074638",9,2013-07-04
"56","1187043",10,2013-06-15
"56","1201607",10,2013-06-15
"56","1300854",9,2013-07-04
"56","1345836",10,2013-06-15
"56","1375666",10,2013-06-15
"56","1905041",9,2013-06-15
"56","1951261",8,2013-06-15
"57","1670345",10,2013-09-02
"58","882977",7,2013-06-01
"58","1446192",8,2013-03-29
"59","375611",10,2013-08-15
"60","1291584",6,2013-06-10
"61","1727388",7,2013-08-15
"62","2515086",1,2013-08-29
"63","94077",7,2013-03-21
"64","68611",9,2013-09-14
"65","811080",6,2013-09-10
"65","1535108",6,2013-09-15
"66","1905041",10,2013-06-17
"67","1203517",4,2013-03-27
"67","1343092",6,2013-05-19
"67","1411250",6,2013-09-08
"67","1727388",9,2013-08-11
"67","1853739",2,2013-08-23
"68","765446",8,2013-05-07
"68","770828",8,2013-06-15
"69","107614",7,2013-04-12
"69","427327",10,2013-05-31
"69","499549",9,2013-07-01
"69","914798",9,2013-05-31
"69","1210819",8,2013-07-06
"69","1453405",9,2013-06-27
"69","1690953",6,2013-07-13
"69","1815862",3,2013-06-02
"69","1860353",2,2013-07-26
"69","1981677",4,2013-05-31
"69","2184339",9,2013-06-30
"70","1840417",10,2013-07-18
"71","1931533",6,2013-05-13
"72","84726",9,2013-06-06
"73","65938",9,2013-03-06
"74","333766",8,2013-05-01
"74","477302",7,2013-04-06
"75","68646",9,2013-04-01
"75","71562",10,2013-04-03
"75","86250",8,2013-04-06
"75","99674",8,2013-04-05
"75","393162",9,2013-09-20
"75","430922",8,2013-07-09
"75","1024648",9,2013-03-05
"75","1300854",8,2013-09-22
"75","1392170",7,2013-06-21
"75","1433108",6,2013-03-10
"75","1650554",9,2013-08-18
"75","1706593",7,2013-03-09
"76","1213663",9,2013-09-14
"77","1300854",9,2013-05-04
"77","1408101",9,2013-05-04
"78","31381",9,2013-03-01
"78","34248",7,2013-04-12
"78","34583",8,2013-03-05
"78","37017",8,2013-08-15
"78","38109",7,2013-03-25
"78","38787",9,2013-03-13
"78","39694",6,2013-03-26
"78","42004",5,2013-04-01
"78","44937",6,2013-09-17
"78","48947",8,2013-08-12
"78","51658",4,2013-07-24
"78","57590",5,2013-04-15
"78","68646",8,2013-03-04
"78","105695",8,2013-04-16
"78","975645",7,2013-03-10
"78","1024648",5,2013-04-11
"78","1045658",7,2013-08-21
"78","1195478",5,2013-04-25
"78","1623205",9,2013-06-25
"78","1907668",7,2013-06-22
"78","1911644",8,2013-08-20
"78","2023587",9,2013-08-19
"78","2083383",8,2013-03-12
"78","2302755",5,2013-08-28
"79","2214941",9,2013-09-14
"80","454876",10,2013-03-07
"80","790724",8,2013-04-22
"80","837562",8,2013-05-08
"80","882977",7,2013-06-08
"80","1156398",9,2013-04-27
"80","1188996",10,2013-04-25
"80","1623288",9,2013-05-05
"80","1758830",5,2013-04-20
"80","1853728",9,2013-03-26
"80","1907668",9,2013-02-28
"80","2024432",7,2013-03-22
"80","2125435",7,2013-05-06
"80","2243537",7,2013-04-18
"81","1276104",6,2013-04-02
"81","1374992",7,2013-05-04
"82","1397280",7,2013-09-18
"83","1723121",8,2013-08-28
"84","1351685",10,2013-03-04
"85","816711",7,2013-06-27
"86","1670345",8,2013-06-09
"87","469021",10,2013-08-07
"87","2053463",7,2013-03-18
"87","2234155",5,2013-07-05
"88","454876",9,2013-03-02
"88","1045658",9,2013-03-02
"88","1343092",10,2013-08-21
"88","1817273",1,2013-07-08
"88","2125435",2,2013-03-19
"88","2258858",10,2013-09-19
"89","848228",4,2013-08-24
"89","1024648",9,2013-08-26
"89","1623205",7,2013-08-26
"89","1817273",5,2013-08-24
"90","120917",10,2013-09-18
"91","89218",9,2013-07-29
"91","109830",10,2013-08-04
"91","112864",9,2013-08-08
"91","114369",10,2013-07-27
"91","119051",7,2013-08-29
"91","120815",10,2013-09-09
"91","144117",9,2013-07-22
"91","251160",8,2013-06-18
"91","278504",7,2013-08-13
"91","338013",7,2013-08-01
"91","417741",8,2013-09-09
"91","443706",8,2013-07-27
"91","454848",8,2013-06-18
"91","870111",8,2013-08-18
"91","914863",8,2013-08-21
"91","964517",8,2013-08-25
"91","976051",8,2013-09-12
"91","1024648",8,2013-06-28
"91","1226271",7,2013-08-19
"91","1229238",8,2013-06-25
"91","1272878",3,2013-08-24
"91","1300851",7,2013-07-22
"91","1670345",6,2013-09-05
"91","1853728",9,2013-08-12
"91","1907668",7,2013-08-17
"91","1911644",7,2013-08-28
"92","2404463",10,2013-07-04
"93","770828",10,2013-06-14
"93","816711",8,2013-06-22
"93","1045658",7,2013-08-16
"93","1300854",3,2013-04-25
"93","1307068",4,2013-05-16
"93","1343092",6,2013-05-23
"93","1343727",6,2013-05-23
"93","1408101",9,2013-05-09
"93","1428538",6,2013-03-14
"93","1583421",6,2013-04-25
"93","1640548",3,2013-04-30
"93","1655442",8,2013-06-25
"93","1687901",7,2013-04-18
"93","1711425",5,2013-05-09
"93","1712170",5,2013-07-07
"93","1764234",7,2013-05-20
"93","1815862",4,2013-06-10
"93","1817273",7,2013-05-09
"93","1924429",7,2013-04-10
"93","1931533",7,2013-08-04
"93","1951261",6,2013-05-27
"93","1990314",6,2013-09-06
"93","2024432",4,2013-03-27
"93","2053463",7,2013-03-14
"93","2184339",5,2013-06-13
"93","2302755",5,2013-04-25
"94","832266",9,2013-05-13
"94","1300854",8,2013-05-12
"94","1381404",7,2013-04-28
"94","1483013",8,2013-05-12
"94","1645155",6,2013-05-12
"94","2302755",8,2013-04-28
"95","69762",8,2013-03-20
"96","1300854",8,2013-05-11
"97","1670345",10,2013-09-10
"98","1412386",8,2013-03-17
"99","804497",9,2013-04-28
"100","1860353",8,2013-07-21
"101","770828",7,2013-06-24
"101","1453405",8,2013-06-26
"102","1772341",8,2013-03-03
"103","1869425",10,2013-04-26
"104","112792",7,2013-08-04
"104","770828",6,2013-08-04
"104","848228",9,2013-08-04
"104","1270798",7,2013-08-04
"104","1345836",10,2013-08-04
"105","119038",9,2013-05-14
"105","278504",6,2013-03-03
"105","308644",7,2013-05-06
"105","347149",8,2013-03-23
"105","1210819",3,2013-08-17
"105","1232829",2,2013-05-16
"105","1430132",2,2013-08-17
"105","1454029",7,2013-08-28
"105","1597522",7,2013-05-22
"105","1605783",7,2013-05-15
"105","2156807",7,2013-09-06
"105","2918988",6,2013-09-07
"106","837562",6,2013-08-20
"106","1024648",7,2013-08-16
"106","1321870",7,2013-09-13
"106","1821694",8,2013-07-29
"107","1389137",7,2013-03-17
"107","1790885",8,2013-09-15
"108","478304",6,2013-03-10
"108","1588334",7,2013-03-03
"108","1616195",8,2013-03-10
"109","455407",7,2013-07-14
"109","481499",8,2013-07-14
"109","1437358",7,2013-05-05
"109","1554091",7,2013-04-27
"109","1966604",8,2013-04-02
"110","97165",9,2013-05-04
"110","289765",8,2013-04-20
"110","363771",8,2013-05-18
"110","471042",4,2013-04-20
"110","970179",8,2013-07-15
"110","983193",8,2013-07-28
"110","1032755",8,2013-03-14
"110","1189340",8,2013-05-04
"110","1343727",5,2013-04-07
"110","1375670",6,2013-06-20
"110","1386703",7,2013-04-01
"110","1453405",7,2013-07-02
"110","1596350",4,2013-04-07
"110","1611224",7,2013-07-09
"110","1690953",9,2013-07-19
"111","1300854",8,2013-05-19
"111","1408101",9,2013-05-19
"112","91042",9,2013-07-23
"113","1911644",9,2013-08-16
"113","2053463",9,2013-08-08
"114","44081",3,2013-07-28
"114","83658",10,2013-07-28
